episode,reward,steps,success,total_steps
0,-0.988,9,0,9
1,-1.044,65,0,74
2,-0.18000000000000022,300,0,374
3,-0.995,16,0,390
4,-0.975,16,0,406
5,-1.0050000000000001,66,0,472
6,-0.987,8,0,480
7,0.3199999999999998,230,1,710
8,-0.977,18,0,728
9,-1.04,81,0,809
10,-0.982,3,0,812
11,-0.9550000000000001,16,0,828
12,-0.9319999999999999,13,0,841
13,-0.982,3,0,844
14,-0.968,49,0,893
15,-0.975,16,0,909
16,-0.993,14,0,923
17,-1.1750000000000003,236,0,1159
18,-1.0030000000000001,24,0,1183
19,-0.98,21,0,1204
20,-0.998,19,0,1223
21,-0.995,16,0,1239
22,-0.984,5,0,1244
23,0.98,65,1,1309
24,-0.893,14,0,1323
25,-0.988,9,0,1332
26,-1.0610000000000002,142,0,1474
27,-1.0110000000000001,32,0,1506
28,0.4399999999999999,200,1,1706
29,-0.974,15,0,1721
30,-0.982,3,0,1724
31,-0.932,53,0,1777
32,-0.984,25,0,1802
33,-0.907,48,0,1850
34,-1.012,33,0,1883
35,-0.989,10,0,1893
36,-0.9410000000000001,22,0,1915
37,-0.9450000000000001,26,0,1941
38,-0.994,15,0,1956
39,-1.01,31,0,1987
40,-1.0830000000000002,104,0,2091
41,-0.9610000000000001,22,0,2113
42,-1.004,25,0,2138
43,0.6839999999999999,139,1,2277
44,-1.0070000000000001,28,0,2305
45,-0.98,21,0,2326
46,-1.084,105,0,2431
47,-0.986,7,0,2438
48,-1.012,33,0,2471
49,-0.972,33,0,2504
50,-0.976,17,0,2521
51,-0.973,34,0,2555
52,-0.989,30,0,2585
53,-0.935,56,0,2641
54,-0.971,32,0,2673
55,-0.994,15,0,2688
56,-1.0230000000000001,64,0,2752
57,-0.98,41,0,2793
58,-0.987,8,0,2801
59,-0.982,3,0,2804
60,-1.092,113,0,2917
61,-0.9860000000000001,107,0,3024
62,-0.98,21,0,3045
63,-0.982,3,0,3048
64,-0.994,15,0,3063
65,-0.997,38,0,3101
66,-0.997,58,0,3159
67,0.9319999999999999,77,1,3236
68,-1.006,27,0,3263
69,-0.986,7,0,3270
70,-0.938,19,0,3289
71,-1.012,93,0,3382
72,0.8799999999999999,90,1,3472
73,-0.9420000000000001,23,0,3495
74,-0.9710000000000001,32,0,3527
75,-0.977,38,0,3565
76,-0.9450000000000001,6,0,3571
77,-1.049,70,0,3641
78,-0.985,6,0,3647
79,-1.0250000000000001,66,0,3713
80,0.4639999999999999,194,1,3907
81,-0.982,3,0,3910
82,-0.982,3,0,3913
83,-0.984,5,0,3918
84,-0.987,8,0,3926
85,-0.9700000000000001,51,0,3977
86,-0.988,9,0,3986
87,-0.9580000000000001,59,0,4045
88,-1.0090000000000001,30,0,4075
89,-0.9420000000000001,43,0,4118
90,-1.1430000000000002,204,0,4322
91,-0.988,9,0,4331
92,-0.968,9,0,4340
93,-0.9550000000000001,56,0,4396
94,-1.002,23,0,4419
95,0.5679999999999998,168,1,4587
96,-0.972,33,0,4620
97,-0.928,9,0,4629
98,-0.932,53,0,4682
99,-0.983,4,0,4686
100,-0.996,17,0,4703
101,-0.9440000000000001,65,0,4768
102,-1.046,67,0,4835
103,-1.0270000000000001,68,0,4903
104,-1.006,27,0,4930
105,-0.10000000000000023,300,0,5230
106,-1.018,39,0,5269
107,-0.998,19,0,5288
108,-0.9520000000000001,73,0,5361
109,-0.997,38,0,5399
110,-0.95,11,0,5410
111,-1.009,30,0,5440
112,-1.0030000000000001,24,0,5464
113,-0.997,18,0,5482
114,-0.9440000000000001,85,0,5567
115,-0.998,19,0,5586
116,-0.869,30,0,5616
117,-0.976,17,0,5633
118,-0.897,18,0,5651
119,-0.987,8,0,5659
120,-0.982,3,0,5662
121,-0.985,6,0,5668
122,-0.9510000000000001,12,0,5680
123,-0.988,9,0,5689
124,-0.9570000000000001,38,0,5727
125,-0.899,60,0,5787
126,-0.9450000000000001,6,0,5793
127,-1.016,97,0,5890
128,-1.0050000000000001,26,0,5916
129,-0.967,28,0,5944
130,-0.928,9,0,5953
131,-1.0210000000000001,42,0,5995
132,-0.9520000000000001,53,0,6048
133,0.9319999999999999,77,1,6125
134,-0.986,7,0,6132
135,-0.972,13,0,6145
136,-0.981,42,0,6187
137,-1.0270000000000001,108,0,6295
138,-0.993,14,0,6309
139,-0.9450000000000001,26,0,6335
140,-1.002,23,0,6358
141,-0.987,8,0,6366
142,-0.968,49,0,6415
143,-0.985,46,0,6461
144,-0.983,4,0,6465
145,-0.999,20,0,6485
146,-0.984,5,0,6490
147,-0.97,31,0,6521
148,-0.999,20,0,6541
149,-0.9500000000000001,31,0,6572
150,0.6439999999999999,149,1,6721
151,-0.956,17,0,6738
152,1.052,47,1,6785
153,-0.995,36,0,6821
154,-0.984,5,0,6826
155,0.7599999999999998,120,1,6946
156,-0.982,3,0,6949
157,-0.9830000000000001,64,0,7013
158,0.956,71,1,7084
159,-0.984,5,0,7089
160,-0.988,9,0,7098
161,-1.1300000000000001,191,0,7289
162,-1.016,57,0,7346
163,-1.0650000000000002,86,0,7432
164,-0.994,35,0,7467
165,-0.982,3,0,7470
166,-0.973,34,0,7504
167,-0.968,9,0,7513
168,-0.932,13,0,7526
169,-1.0,41,0,7567
170,-1.0550000000000002,136,0,7703
171,-0.982,3,0,7706
172,-0.9510000000000001,52,0,7758
173,0.9079999999999999,83,1,7841
174,-0.9880000000000001,49,0,7890
175,-0.9550000000000001,16,0,7906
176,-0.9900000000000001,91,0,7997
177,-0.923,44,0,8041
178,-0.918,19,0,8060
179,-1.0210000000000001,42,0,8102
180,0.9039999999999999,84,1,8186
181,-1.0010000000000001,62,0,8248
182,1.024,54,1,8302
183,-0.934,35,0,8337
184,0.7599999999999999,120,1,8457
185,-0.9490000000000001,10,0,8467
186,-0.908,29,0,8496
187,-0.978,19,0,8515
188,0.21999999999999986,255,1,8770
189,-0.982,3,0,8773
190,-1.1550000000000002,236,0,9009
191,-0.989,10,0,9019
192,-1.0010000000000001,22,0,9041
193,-1.026,47,0,9088
194,-0.986,27,0,9115
195,-1.0030000000000001,24,0,9139
196,-0.9530000000000001,14,0,9153
197,-0.98,21,0,9174
198,0.96,70,1,9244
199,-0.988,9,0,9253
200,-1.0750000000000002,136,0,9389
201,-0.992,13,0,9402
202,-0.9560000000000001,77,0,9479
203,0.8639999999999999,94,1,9573
204,1.108,33,1,9606
205,-0.967,8,0,9614
206,-0.913,34,0,9648
207,0.756,121,1,9769
208,-0.914,35,0,9804
209,-0.927,68,0,9872
210,-0.9550000000000001,16,0,9888
211,0.3399999999999998,225,1,10113
212,-0.982,3,0,10116
213,-0.991,12,0,10128
214,-1.0110000000000001,72,0,10200
215,-0.929,30,0,10230
216,-1.022,83,0,10313
217,-0.986,7,0,10320
218,1.072,42,1,10362
219,-0.9770000000000001,78,0,10440
220,-0.982,3,0,10443
221,-0.987,8,0,10451
222,-0.2000000000000002,300,0,10751
223,-0.9450000000000001,46,0,10797
224,1.064,44,1,10841
225,-0.982,3,0,10844
226,-1.002,63,0,10907
227,-0.993,14,0,10921
228,-0.979,40,0,10961
229,-0.9410000000000001,42,0,11003
230,0.612,157,1,11160
231,-1.12,181,0,11341
232,0.74,125,1,11466
233,-0.988,9,0,11475
234,-0.995,56,0,11531
235,-0.9359999999999999,17,0,11548
236,-0.9540000000000001,75,0,11623
237,-1.056,77,0,11700
238,-0.982,3,0,11703
239,-1.052,73,0,11776
240,-1.006,27,0,11803
241,-0.925,26,0,11829
242,-0.988,9,0,11838
243,-0.99,11,0,11849
244,-0.993,14,0,11863
245,-0.99,31,0,11894
246,0.26399999999999985,244,1,12138
247,-0.9510000000000001,12,0,12150
248,-0.949,10,0,12160
249,0.9319999999999999,77,1,12237
250,-1.0070000000000001,28,0,12265
251,-0.982,3,0,12268
252,-0.985,6,0,12274
253,-0.986,7,0,12281
254,-0.9450000000000001,6,0,12287
255,-0.9380000000000001,19,0,12306
256,-1.004,105,0,12411
257,0.5079999999999998,183,1,12594
258,-0.994,15,0,12609
259,-0.985,6,0,12615
260,-0.96,21,0,12636
261,-1.0190000000000001,40,0,12676
262,-1.0170000000000001,38,0,12714
263,-0.982,3,0,12717
264,-1.0010000000000001,22,0,12739
265,-0.984,5,0,12744
266,-0.982,3,0,12747
267,0.8239999999999998,104,1,12851
268,-0.9810000000000001,102,0,12953
269,-1.062,123,0,13076
270,-0.982,3,0,13079
271,-0.995,16,0,13095
272,-1.0250000000000001,166,0,13261
273,-0.9430000000000001,24,0,13285
274,-0.996,17,0,13302
275,-0.97,11,0,13313
276,-0.965,26,0,13339
277,-0.97,11,0,13350
278,-0.957,18,0,13368
279,-0.996,17,0,13385
280,-0.986,7,0,13392
281,-1.0010000000000001,22,0,13414
282,-0.987,8,0,13422
283,-1.012,33,0,13455
284,-0.99,11,0,13466
285,-0.994,15,0,13481
286,1.1320000000000001,27,1,13508
287,-0.9590000000000001,20,0,13528
288,-0.985,6,0,13534
289,0.728,128,1,13662
290,-0.9570000000000001,18,0,13680
291,0.9799999999999999,65,1,13745
292,1.152,22,1,13767
293,0.8879999999999999,88,1,13855
294,-0.984,5,0,13860
295,0.84,100,1,13960
296,0.748,123,1,14083
297,-0.986,7,0,14090
298,1.024,54,1,14144
299,-0.982,3,0,14147
300,-1.1540000000000001,275,0,14422
301,-0.985,6,0,14428
302,-1.0190000000000001,40,0,14468
303,-0.972,13,0,14481
304,-0.984,5,0,14486
305,1.008,58,1,14544
306,0.9079999999999999,83,1,14627
307,-0.984,65,0,14692
308,-0.995,16,0,14708
309,1.048,48,1,14756
310,0.8319999999999999,102,1,14858
311,0.976,66,1,14924
312,-1.06,81,0,15005
313,0.8759999999999999,91,1,15096
314,0.9319999999999999,77,1,15173
315,-0.99,11,0,15184
316,-0.915,16,0,15200
317,-0.934,55,0,15255
318,-0.983,4,0,15259
319,-0.9510000000000001,92,0,15351
320,-0.936,17,0,15368
321,1.088,38,1,15406
322,1.028,53,1,15459
323,-0.9730000000000001,34,0,15493
324,-0.869,30,0,15523
325,-1.054,135,0,15658
326,-0.988,9,0,15667
327,-0.1800000000000002,300,0,15967
328,0.788,113,1,16080
329,1.048,48,1,16128
330,-0.953,14,0,16142
331,1.172,17,1,16159
332,-0.988,9,0,16168
333,1.144,24,1,16192
334,-0.994,15,0,16207
335,1.028,53,1,16260
336,1.068,43,1,16303
337,-0.935,36,0,16339
338,0.86,95,1,16434
339,-0.9430000000000001,24,0,16458
340,0.968,68,1,16526
341,-0.965,26,0,16552
342,0.9999999999999999,60,1,16612
343,-0.986,7,0,16619
344,-1.0390000000000001,60,0,16679
345,0.8319999999999999,102,1,16781
346,-1.07,91,0,16872
347,0.9879999999999999,63,1,16935
348,-0.997,18,0,16953
349,1.028,53,1,17006
350,-0.989,10,0,17016
351,-1.022,43,0,17059
352,-0.99,31,0,17090
353,-0.963,24,0,17114
354,-0.985,6,0,17120
355,-0.994,15,0,17135
356,-1.0910000000000002,152,0,17287
357,0.78,115,1,17402
358,-0.984,5,0,17407
359,-1.0010000000000001,22,0,17429
360,-0.984,5,0,17434
361,-1.002,23,0,17457
362,-0.9410000000000001,42,0,17499
363,0.9359999999999999,76,1,17575
364,0.9359999999999999,76,1,17651
