episode,reward,steps,success,total_steps
0,-0.985,6,0,6
1,-0.9790000000000001,60,0,66
2,-1.004,65,0,131
3,-0.9359999999999999,17,0,148
4,-0.909,50,0,198
5,-0.869,30,0,228
6,-0.889,50,0,278
7,-0.984,5,0,283
8,-0.9390000000000001,60,0,343
9,-0.987,8,0,351
10,-0.9470000000000001,28,0,379
11,-0.9990000000000001,100,0,479
12,-0.9490000000000001,10,0,489
13,-1.065,66,0,555
14,-0.97,11,0,566
15,-0.999,60,0,626
16,-0.9490000000000001,30,0,656
17,-1.0290000000000001,70,0,726
18,-0.9,81,0,807
19,-0.9390000000000001,60,0,867
20,-0.986,7,0,874
21,-0.984,5,0,879
22,-0.952,13,0,892
23,-0.982,3,0,895
24,-1.016,77,0,972
25,-0.886,47,0,1019
26,-0.917,18,0,1037
27,-1.084,145,0,1182
28,-0.982,3,0,1185
29,-0.999,60,0,1245
30,-0.9580000000000001,39,0,1284
31,-0.973,14,0,1298
32,-0.9390000000000001,20,0,1318
33,-0.982,3,0,1321
34,-0.9390000000000001,120,0,1441
35,-0.9590000000000001,120,0,1561
36,-0.9560000000000001,37,0,1598
37,-0.919,40,0,1638
38,-0.975,16,0,1654
39,-0.9420000000000001,23,0,1677
40,-0.9490000000000001,70,0,1747
41,-0.949,10,0,1757
42,-0.982,3,0,1760
43,-0.929,70,0,1830
44,-1.002,83,0,1913
45,-0.9490000000000001,110,0,2023
46,-1.0090000000000001,70,0,2093
47,-1.052,73,0,2166
48,-0.909,50,0,2216
49,-0.9490000000000001,70,0,2286
50,-0.9990000000000001,80,0,2366
51,-0.987,8,0,2374
52,-0.95,11,0,2385
53,-0.9440000000000001,25,0,2410
54,-0.936,37,0,2447
55,-0.947,8,0,2455
56,-0.9440000000000001,45,0,2500
57,-0.92,61,0,2561
58,-0.999,60,0,2621
59,-0.849,50,0,2671
60,-1.039,60,0,2731
61,-0.982,3,0,2734
62,-1.0250000000000001,66,0,2800
63,-0.966,27,0,2827
64,-0.977,18,0,2845
65,-0.947,8,0,2853
66,-0.954,35,0,2888
67,-1.032,153,0,3041
68,-0.911,12,0,3053
69,-0.983,64,0,3117
70,-0.9480000000000001,89,0,3206
71,-1.0390000000000001,60,0,3266
72,-0.983,4,0,3270
73,-0.982,3,0,3273
74,-0.988,9,0,3282
75,-0.973,14,0,3296
76,-1.0290000000000001,70,0,3366
77,-0.9390000000000001,60,0,3426
78,-0.962,23,0,3449
79,-1.04,81,0,3530
80,-0.979,60,0,3590
81,-0.999,60,0,3650
82,-1.0090000000000001,70,0,3720
83,-0.9380000000000001,59,0,3779
84,-0.975,16,0,3795
85,-0.9410000000000001,62,0,3857
86,-0.984,5,0,3862
87,-0.986,7,0,3869
88,-0.9490000000000001,10,0,3879
89,-0.9790000000000001,100,0,3979
90,-0.964,5,0,3984
91,-0.929,30,0,4014
92,-0.97,11,0,4025
93,-0.9810000000000001,102,0,4127
94,-0.9600000000000001,101,0,4228
95,-0.974,15,0,4243
96,-0.977,18,0,4261
97,-1.1280000000000001,149,0,4410
98,-0.984,5,0,4415
99,-0.9410000000000001,42,0,4457
100,-0.982,3,0,4460
101,-1.0090000000000001,90,0,4550
102,-0.908,29,0,4579
103,-0.984,5,0,4584
104,-1.038,99,0,4683
105,-1.082,163,0,4846
106,-0.929,70,0,4916
107,-0.9590000000000001,80,0,4996
108,-0.859,40,0,5036
109,-0.976,17,0,5053
110,-0.977,18,0,5071
111,-1.0390000000000001,60,0,5131
112,-0.987,8,0,5139
113,-0.895,36,0,5175
114,-0.919,40,0,5215
115,-0.9390000000000001,60,0,5275
116,-0.9390000000000001,60,0,5335
117,-0.959,20,0,5355
118,-0.879,40,0,5395
119,-0.9480000000000001,49,0,5444
120,-0.97,11,0,5455
121,-0.9490000000000001,10,0,5465
122,-0.9390000000000001,80,0,5545
123,-0.999,60,0,5605
124,-1.0390000000000001,60,0,5665
125,-0.9480000000000001,49,0,5714
126,-0.985,6,0,5720
127,-0.899,40,0,5760
128,-0.919,20,0,5780
129,-0.899,120,0,5900
130,-0.979,60,0,5960
131,-0.93,31,0,5991
132,-0.966,27,0,6018
133,-0.909,90,0,6108
134,-0.9390000000000001,20,0,6128
135,-0.983,4,0,6132
