episode,reward,steps,success,total_steps
0,-1.0,90,0,90
1,-1.0,50,0,140
2,-1.0,60,0,200
3,-1.0,60,0,260
4,0.0,65,0,325
5,0.0,46,0,371
6,-1.0,80,0,451
7,0.0,142,0,593
8,0.0,3,0,596
9,-1.0,60,0,656
10,-1.0,140,0,796
11,-1.0,60,0,856
12,0.0,5,0,861
13,0.0,25,0,886
14,0.0,15,0,901
15,0.0,3,0,904
16,-1.0,100,0,1004
17,-1.0,60,0,1064
18,-1.0,60,0,1124
19,0.0,61,0,1185
20,0.0,3,0,1188
21,-1.0,80,0,1268
22,0.706,98,1,1366
23,0.0,5,0,1371
24,0.0,63,0,1434
25,0.0,218,0,1652
26,-1.0,20,0,1672
27,-1.0,30,0,1702
28,0.0,26,0,1728
29,0.0,37,0,1765
30,-1.0,60,0,1825
31,-1.0,60,0,1885
32,-1.0,90,0,1975
33,-1.0,70,0,2045
34,-1.0,60,0,2105
35,0.0,3,0,2108
36,0.0,40,0,2148
37,-1.0,60,0,2208
38,0.0,26,0,2234
39,0.0,104,0,2338
40,-1.0,60,0,2398
41,0.0,110,0,2508
42,0.0,64,0,2572
43,0.0,34,0,2606
44,-1.0,20,0,2626
45,-1.0,20,0,2646
46,0.0,4,0,2650
47,0.0,196,0,2846
48,-1.0,60,0,2906
49,0.0,138,0,3044
50,0.0,17,0,3061
51,0.76,80,1,3141
52,-1.0,70,0,3211
53,-1.0,70,0,3281
54,0.0,7,0,3288
55,-1.0,90,0,3378
56,0.0,42,0,3420
57,-1.0,10,0,3430
58,-1.0,110,0,3540
59,-1.0,80,0,3620
60,0.0,36,0,3656
61,-1.0,60,0,3716
62,0.0,5,0,3721
63,-1.0,60,0,3781
64,0.0,26,0,3807
65,0.0,60,0,3867
66,0.0,72,0,3939
67,0.0,10,0,3949
68,0.0,3,0,3952
69,0.0,57,0,4009
70,0.0,5,0,4014
71,0.0,117,0,4131
72,0.0,26,0,4157
73,0.0,6,0,4163
74,-1.0,60,0,4223
75,0.0,64,0,4287
76,0.0,76,0,4363
77,0.0,28,0,4391
78,0.0,13,0,4404
79,-1.0,90,0,4494
80,0.931,23,1,4517
81,0.0,17,0,4534
82,0.0,66,0,4600
83,0.0,82,0,4682
84,0.0,3,0,4685
85,-1.0,60,0,4745
86,0.0,40,0,4785
87,-1.0,50,0,4835
88,-1.0,20,0,4855
89,0.0,5,0,4860
90,0.0,6,0,4866
91,0.76,80,1,4946
92,-1.0,70,0,5016
93,-1.0,70,0,5086
94,0.0,23,0,5109
95,0.0,65,0,5174
96,0.0,11,0,5185
97,0.0,97,0,5282
98,0.0,77,0,5359
99,0.0,92,0,5451
100,0.0,72,0,5523
101,0.0,11,0,5534
102,0.0,4,0,5538
103,0.0,9,0,5547
104,0.79,70,1,5617
105,-1.0,40,0,5657
106,0.0,78,0,5735
107,-1.0,90,0,5825
108,0.0,25,0,5850
109,0.0,80,0,5930
110,-1.0,120,0,6050
111,0.0,9,0,6059
112,0.0,3,0,6062
113,-1.0,60,0,6122
114,0.0,3,0,6125
115,0.0,15,0,6140
116,0.0,16,0,6156
117,0.0,126,0,6282
118,0.0,38,0,6320
119,0.0,18,0,6338
120,0.0,7,0,6345
121,0.0,3,0,6348
122,0.0,27,0,6375
123,0.0,3,0,6378
124,0.736,88,1,6466
125,0.0,20,0,6486
126,0.0,6,0,6492
127,0.0,7,0,6499
128,-1.0,60,0,6559
129,-1.0,70,0,6629
130,0.0,16,0,6645
131,-1.0,60,0,6705
132,0.0,66,0,6771
133,-1.0,80,0,6851
134,0.0,62,0,6913
135,0.0,45,0,6958
136,0.0,37,0,6995
137,0.0,9,0,7004
138,0.0,47,0,7051
139,0.0,6,0,7057
140,0.0,26,0,7083
141,-1.0,60,0,7143
142,0.0,5,0,7148
143,0.0,61,0,7209
144,-1.0,160,0,7369
145,-1.0,60,0,7429
146,0.0,45,0,7474
147,-1.0,60,0,7534
148,0.0,3,0,7537
149,0.0,78,0,7615
150,0.0,28,0,7643
151,0.0,46,0,7689
152,0.0,77,0,7766
153,0.0,32,0,7798
154,0.0,8,0,7806
155,0.0,16,0,7822
156,0.0,4,0,7826
157,0.0,84,0,7910
158,0.0,66,0,7976
159,-1.0,80,0,8056
160,-1.0,10,0,8066
161,0.0,19,0,8085
162,-1.0,10,0,8095
163,0.0,3,0,8098
164,0.0,93,0,8191
165,-1.0,70,0,8261
166,0.0,5,0,8266
167,-1.0,120,0,8386
168,0.0,65,0,8451
169,-1.0,60,0,8511
170,-1.0,60,0,8571
171,-1.0,10,0,8581
