episode,reward,steps,success,total_steps
0,-0.992,13,0,13
1,-0.98,21,0,34
2,-0.9359999999999999,17,0,51
3,-0.986,47,0,98
4,-0.908,29,0,127
5,-0.973,14,0,141
6,-0.981,62,0,203
7,-1.0330000000000001,54,0,257
8,-1.0310000000000001,52,0,309
9,-1.034,55,0,364
10,-1.082,143,0,507
11,0.616,156,1,663
12,-0.986,7,0,670
13,-0.982,3,0,673
14,-0.9530000000000001,94,0,767
15,-0.9460000000000001,87,0,854
16,-0.989,10,0,864
17,-0.983,4,0,868
18,-0.973,34,0,902
19,-0.922,83,0,985
20,-1.0730000000000002,154,0,1139
21,-0.987,8,0,1147
22,-1.0890000000000002,190,0,1337
23,-0.989,10,0,1347
24,-0.98,21,0,1368
25,-0.986,7,0,1375
26,-0.975,16,0,1391
27,-0.979,40,0,1431
28,-0.909,10,0,1441
29,-1.0010000000000001,22,0,1463
30,-0.99,11,0,1474
31,-0.982,3,0,1477
32,-0.951,12,0,1489
33,-1.072,93,0,1582
34,-1.0490000000000002,110,0,1692
35,-1.0030000000000001,64,0,1756
36,-0.991,12,0,1768
37,-1.046,107,0,1875
38,1.06,45,1,1920
39,0.7199999999999999,130,1,2050
40,0.5079999999999998,183,1,2233
41,-0.908,69,0,2302
42,-1.0770000000000002,138,0,2440
43,-0.983,4,0,2444
44,-0.984,5,0,2449
45,-0.985,6,0,2455
46,-0.9470000000000001,8,0,2463
47,-0.991,12,0,2475
48,-0.991,12,0,2487
49,-1.129,150,0,2637
50,-0.985,6,0,2643
51,-1.0350000000000001,56,0,2699
52,-0.951,12,0,2711
53,-0.994,15,0,2726
54,-0.992,13,0,2739
55,0.42399999999999977,204,1,2943
56,-1.036,57,0,3000
57,-0.937,38,0,3038
58,0.9879999999999999,63,1,3101
59,-0.992,13,0,3114
60,-0.992,53,0,3167
61,0.74,125,1,3292
62,-1.0110000000000001,92,0,3384
63,-0.9980000000000001,119,0,3503
64,-0.992,13,0,3516
65,-0.9590000000000001,20,0,3536
66,-1.0270000000000001,48,0,3584
67,-0.951,12,0,3596
68,-0.9550000000000001,36,0,3632
69,0.8600000000000001,95,1,3727
70,-1.0470000000000002,108,0,3835
71,-0.9470000000000001,48,0,3883
72,-1.042,83,0,3966
73,-1.108,129,0,4095
74,-0.978,19,0,4114
75,0.7839999999999998,114,1,4228
76,-0.935,16,0,4244
77,0.7639999999999999,119,1,4363
78,-0.986,7,0,4370
79,-0.977,18,0,4388
80,-0.931,52,0,4440
81,-1.022,43,0,4483
82,1.056,46,1,4529
83,-1.0430000000000001,104,0,4633
84,-1.052,73,0,4706
85,0.5719999999999998,167,1,4873
86,-0.994,15,0,4888
87,-1.006,47,0,4935
88,-0.995,16,0,4951
89,-0.9490000000000001,30,0,4981
90,-0.982,3,0,4984
91,-1.0010000000000001,22,0,5006
92,-1.04,61,0,5067
93,0.9079999999999999,83,1,5150
94,-1.233,294,0,5444
95,-0.992,13,0,5457
96,-0.987,8,0,5465
97,-1.03,51,0,5516
98,-1.02,121,0,5637
99,-0.993,54,0,5691
100,-1.0050000000000001,46,0,5737
101,-1.0,21,0,5758
102,-0.98,41,0,5799
103,0.584,164,1,5963
104,-0.9380000000000001,19,0,5982
105,-1.0630000000000002,144,0,6126
106,1.08,40,1,6166
107,-1.014,35,0,6201
108,-0.998,39,0,6240
109,-0.988,9,0,6249
110,0.11599999999999983,281,1,6530
111,-0.898,59,0,6589
112,0.6519999999999999,147,1,6736
113,-0.99,11,0,6747
114,-0.984,5,0,6752
115,1.06,45,1,6797
116,-0.983,4,0,6801
