episode,reward,steps,success,total_steps
0,0.0,97,0,97
1,0.484,172,1,269
2,0.0,137,0,406
3,0.0,7,0,413
4,0.0,11,0,424
5,0.0,22,0,446
6,0.0,52,0,498
7,0.0,14,0,512
8,0.0,7,0,519
9,0.0,61,0,580
10,0.0,18,0,598
11,0.0,99,0,697
12,0.0,30,0,727
13,0.0,285,0,1012
14,0.0,14,0,1026
15,0.0,36,0,1062
16,0.0,111,0,1173
17,0.0,46,0,1219
18,0.0,38,0,1257
19,0.0,36,0,1293
20,0.0,92,0,1385
21,0.835,55,1,1440
22,0.0,29,0,1469
23,0.0,8,0,1477
24,0.0,55,0,1532
25,0.0,105,0,1637
26,0.0,27,0,1664
27,0.0,17,0,1681
28,0.0,5,0,1686
29,0.0,18,0,1704
30,0.0,12,0,1716
31,0.0,19,0,1735
32,0.0,7,0,1742
33,0.0,30,0,1772
34,0.349,217,1,1989
35,0.0,33,0,2022
36,0.0,110,0,2132
37,0.0,11,0,2143
38,0.0,22,0,2165
39,0.0,3,0,2168
40,0.0,10,0,2178
41,0.0,15,0,2193
42,0.0,11,0,2204
43,0.0,105,0,2309
44,0.0,9,0,2318
45,0.7989999999999999,67,1,2385
46,0.0,5,0,2390
47,0.0,37,0,2427
48,0.0,14,0,2441
49,0.0,31,0,2472
50,0.0,180,0,2652
51,0.0,30,0,2682
52,0.0,31,0,2713
53,0.0,36,0,2749
54,0.0,31,0,2780
55,0.871,43,1,2823
56,0.0,79,0,2902
57,0.0,62,0,2964
58,0.0,4,0,2968
59,0.0,25,0,2993
60,0.0,29,0,3022
61,0.0,11,0,3033
62,0.0,6,0,3039
63,0.0,23,0,3062
64,0.0,5,0,3067
65,0.0,33,0,3100
66,0.0,48,0,3148
67,0.0,4,0,3152
68,0.0,14,0,3166
69,0.0,8,0,3174
70,0.0,63,0,3237
71,0.0,50,0,3287
72,0.0,38,0,3325
73,0.0,49,0,3374
74,0.0,22,0,3396
75,0.0,123,0,3519
76,0.0,5,0,3524
77,0.0,4,0,3528
78,0.0,3,0,3531
79,0.0,116,0,3647
80,0.0,5,0,3652
81,0.0,16,0,3668
82,0.0,3,0,3671
83,0.0,57,0,3728
84,0.0,3,0,3731
85,0.0,20,0,3751
86,0.0,39,0,3790
87,0.0,114,0,3904
88,0.0,30,0,3934
89,0.0,5,0,3939
90,0.673,109,1,4048
91,0.0,35,0,4083
92,0.0,18,0,4101
93,0.0,31,0,4132
94,0.0,7,0,4139
95,0.0,73,0,4212
96,0.0,32,0,4244
97,0.0,17,0,4261
98,0.0,29,0,4290
99,0.6819999999999999,106,1,4396
100,0.0,259,0,4655
101,0.0,24,0,4679
102,0.0,181,0,4860
103,0.0,17,0,4877
104,0.0,22,0,4899
105,0.0,32,0,4931
106,0.0,13,0,4944
107,0.0,23,0,4967
108,0.0,25,0,4992
109,0.0,31,0,5023
110,0.76,80,1,5103
111,0.0,3,0,5106
112,0.0,5,0,5111
113,0.0,14,0,5125
114,0.0,6,0,5131
115,0.0,32,0,5163
116,0.0,9,0,5172
117,0.0,39,0,5211
118,0.5740000000000001,142,1,5353
119,0.0,41,0,5394
120,0.0,11,0,5405
121,0.0,10,0,5415
122,0.0,4,0,5419
123,0.0,26,0,5445
124,0.0,91,0,5536
125,0.0,44,0,5580
126,0.898,34,1,5614
127,0.0,15,0,5629
128,0.0,47,0,5676
129,0.0,5,0,5681
130,0.0,47,0,5728
131,0.0,7,0,5735
132,0.0,57,0,5792
133,0.0,22,0,5814
134,0.0,28,0,5842
135,0.0,6,0,5848
136,0.0,26,0,5874
137,0.0,22,0,5896
138,0.0,36,0,5932
139,0.0,144,0,6076
140,0.0,44,0,6120
141,0.0,11,0,6131
142,0.0,50,0,6181
143,0.0,16,0,6197
144,0.0,269,0,6466
145,0.0,189,0,6655
146,0.0,18,0,6673
147,0.0,8,0,6681
148,0.0,7,0,6688
149,0.0,91,0,6779
150,0.0,97,0,6876
151,0.0,51,0,6927
152,0.0,7,0,6934
153,0.0,150,0,7084
154,0.0,34,0,7118
155,0.0,34,0,7152
156,0.0,25,0,7177
157,0.0,12,0,7189
