episode,reward,steps,success,total_steps
0,0.961,13,1,13
1,0.961,13,1,26
2,0.961,13,1,39
3,0.961,13,1,52
4,0.961,13,1,65
5,0.961,13,1,78
6,0.961,13,1,91
7,0.961,13,1,104
8,0.961,13,1,117
9,0.961,13,1,130
10,0.961,13,1,143
11,0.961,13,1,156
12,0.961,13,1,169
13,0.961,13,1,182
14,0.961,13,1,195
15,0.961,13,1,208
16,0.961,13,1,221
17,0.961,13,1,234
18,0.961,13,1,247
19,0.961,13,1,260
20,0.961,13,1,273
21,0.961,13,1,286
22,0.961,13,1,299
23,0.961,13,1,312
24,0.961,13,1,325
25,0.961,13,1,338
26,0.961,13,1,351
27,0.961,13,1,364
28,0.961,13,1,377
29,0.961,13,1,390
30,0.961,13,1,403
31,0.961,13,1,416
32,0.961,13,1,429
33,0.961,13,1,442
34,0.961,13,1,455
35,0.961,13,1,468
36,0.961,13,1,481
37,0.961,13,1,494
38,0.961,13,1,507
39,0.961,13,1,520
40,0.961,13,1,533
41,0.961,13,1,546
42,0.961,13,1,559
43,0.961,13,1,572
44,0.961,13,1,585
45,0.961,13,1,598
46,0.961,13,1,611
47,0.961,13,1,624
48,0.961,13,1,637
49,0.961,13,1,650
50,0.961,13,1,663
51,0.961,13,1,676
52,0.961,13,1,689
53,0.961,13,1,702
54,0.961,13,1,715
55,0.961,13,1,728
56,0.961,13,1,741
57,0.961,13,1,754
58,0.961,13,1,767
59,0.961,13,1,780
60,0.961,13,1,793
61,0.961,13,1,806
62,0.961,13,1,819
63,0.961,13,1,832
64,0.961,13,1,845
65,0.961,13,1,858
66,0.961,13,1,871
67,0.961,13,1,884
68,0.961,13,1,897
69,0.961,13,1,910
70,0.961,13,1,923
71,0.961,13,1,936
72,0.961,13,1,949
73,0.961,13,1,962
74,0.961,13,1,975
75,0.961,13,1,988
76,0.961,13,1,1001
77,0.961,13,1,1014
78,0.961,13,1,1027
79,0.961,13,1,1040
80,0.961,13,1,1053
81,0.961,13,1,1066
82,0.961,13,1,1079
83,0.961,13,1,1092
84,0.961,13,1,1105
85,0.961,13,1,1118
86,0.961,13,1,1131
87,0.961,13,1,1144
88,0.961,13,1,1157
89,0.961,13,1,1170
90,0.961,13,1,1183
91,0.961,13,1,1196
92,0.961,13,1,1209
93,0.961,13,1,1222
94,0.961,13,1,1235
95,0.961,13,1,1248
96,0.961,13,1,1261
97,0.961,13,1,1274
98,0.961,13,1,1287
99,0.961,13,1,1300
