episode,reward,steps,success,total_steps,epsilon
0,-0.909,90,0,90,0.1
1,-0.982,3,0,93,0.1
2,-0.9390000000000001,20,0,113,0.1
3,-0.869,50,0,163,0.1
4,-0.9,21,0,184,0.1
5,0.852,97,1,281,0.1
6,-0.849,30,0,311,0.1
7,1.116,31,1,342,0.1
8,1.116,31,1,373,0.1
9,-0.983,4,0,377,0.1
10,-0.887,28,0,405,0.1
11,1.172,17,1,422,0.1
12,1.12,30,1,452,0.1
13,1.16,20,1,472,0.1
14,1.18,15,1,487,0.1
15,-0.879,20,0,507,0.1
16,1.18,15,1,522,0.1
17,1.188,13,1,535,0.1
18,1.18,15,1,550,0.1
19,1.188,13,1,563,0.1
20,1.188,13,1,576,0.1
21,1.188,13,1,589,0.1
22,1.18,15,1,604,0.1
23,1.18,15,1,619,0.1
24,1.18,15,1,634,0.1
25,-0.8200000000000001,21,0,655,0.1
26,1.156,21,1,676,0.1
27,1.172,17,1,693,0.1
28,1.172,17,1,710,0.1
29,1.188,13,1,723,0.1
30,1.188,13,1,736,0.1
31,1.188,13,1,749,0.1
32,-0.975,16,0,765,0.1
33,1.16,20,1,785,0.1
34,1.188,13,1,798,0.1
35,1.18,15,1,813,0.1
36,-0.8460000000000001,27,0,840,0.1
37,1.188,13,1,853,0.1
38,1.18,15,1,868,0.1
39,1.18,15,1,883,0.1
40,-0.919,20,0,903,0.1
41,1.188,13,1,916,0.1
42,1.16,20,1,936,0.1
43,1.188,13,1,949,0.1
44,1.188,13,1,962,0.1
45,1.188,13,1,975,0.1
46,-0.929,30,0,1005,0.1
47,1.188,13,1,1018,0.1
48,1.188,13,1,1031,0.1
49,1.164,19,1,1050,0.1
50,1.188,13,1,1063,0.1
51,1.188,13,1,1076,0.1
52,1.18,15,1,1091,0.1
53,1.184,14,1,1105,0.1
54,1.18,15,1,1120,0.1
55,1.188,13,1,1133,0.1
56,1.18,15,1,1148,0.1
57,-0.9790000000000001,100,0,1248,0.1
58,1.164,19,1,1267,0.1
59,1.188,13,1,1280,0.1
60,-0.891,52,0,1332,0.1
61,1.188,13,1,1345,0.1
62,1.18,15,1,1360,0.1
63,1.176,16,1,1376,0.1
64,1.184,14,1,1390,0.1
65,1.188,13,1,1403,0.1
66,1.188,13,1,1416,0.1
67,-0.934,15,0,1431,0.1
68,1.188,13,1,1444,0.1
69,1.188,13,1,1457,0.1
70,1.188,13,1,1470,0.1
71,1.188,13,1,1483,0.1
72,1.176,16,1,1499,0.1
73,1.188,13,1,1512,0.1
74,1.18,15,1,1527,0.1
75,1.188,13,1,1540,0.1
76,1.176,16,1,1556,0.1
77,1.188,13,1,1569,0.1
78,1.172,17,1,1586,0.1
79,1.18,15,1,1601,0.1
80,1.18,15,1,1616,0.1
81,1.18,15,1,1631,0.1
82,1.188,13,1,1644,0.1
83,1.188,13,1,1657,0.1
84,1.188,13,1,1670,0.1
85,1.176,16,1,1686,0.1
86,-0.8580000000000001,39,0,1725,0.1
87,1.18,15,1,1740,0.1
88,1.188,13,1,1753,0.1
89,1.188,13,1,1766,0.1
90,1.172,17,1,1783,0.1
91,1.18,15,1,1798,0.1
92,1.188,13,1,1811,0.1
93,1.172,17,1,1828,0.1
94,-0.855,36,0,1864,0.1
95,1.18,15,1,1879,0.1
96,1.172,17,1,1896,0.1
97,1.18,15,1,1911,0.1
98,1.18,15,1,1926,0.1
