episode,reward,steps,success,total_steps,epsilon
0,0.0,97,0,97,0.1
1,-1.0,10,0,107,0.1
2,0.0,37,0,144,0.1
3,0.0,31,0,175,0.1
4,0.0,7,0,182,0.1
5,0.0,74,0,256,0.1
6,0.0,34,0,290,0.1
7,-1.0,60,0,350,0.1
8,0.0,77,0,427,0.1
9,0.0,66,0,493,0.1
10,0.0,16,0,509,0.1
11,0.0,5,0,514,0.1
12,0.0,7,0,521,0.1
13,0.0,12,0,533,0.1
14,0.0,8,0,541,0.1
15,0.0,15,0,556,0.1
16,-1.0,30,0,586,0.1
17,-1.0,70,0,656,0.1
18,0.0,8,0,664,0.1
19,-1.0,60,0,724,0.1
20,0.0,3,0,727,0.1
21,0.0,3,0,730,0.1
22,0.0,60,0,790,0.1
23,0.0,8,0,798,0.1
24,-1.0,70,0,868,0.1
25,0.0,36,0,904,0.1
26,0.0,17,0,921,0.1
27,-1.0,60,0,981,0.1
28,-1.0,10,0,991,0.1
29,-1.0,20,0,1011,0.1
30,0.0,84,0,1095,0.1
31,0.0,22,0,1117,0.1
32,0.0,5,0,1122,0.1
33,0.0,83,0,1205,0.1
34,0.0,15,0,1220,0.1
35,0.0,36,0,1256,0.1
36,-1.0,60,0,1316,0.1
37,0.0,15,0,1331,0.1
38,-1.0,10,0,1341,0.1
39,-1.0,70,0,1411,0.1
40,-1.0,80,0,1491,0.1
41,0.0,9,0,1500,0.1
42,0.532,156,1,1656,0.1
43,0.0,7,0,1663,0.1
44,-1.0,60,0,1723,0.1
45,0.0,126,0,1849,0.1
46,0.0,16,0,1865,0.1
47,0.0,31,0,1896,0.1
48,0.0,34,0,1930,0.1
49,-1.0,50,0,1980,0.1
50,0.0,13,0,1993,0.1
51,-1.0,60,0,2053,0.1
52,0.0,48,0,2101,0.1
53,0.0,19,0,2120,0.1
54,0.0,38,0,2158,0.1
55,0.0,153,0,2311,0.1
56,0.0,14,0,2325,0.1
57,0.0,5,0,2330,0.1
58,0.0,68,0,2398,0.1
59,0.0,12,0,2410,0.1
60,0.0,66,0,2476,0.1
61,0.0,99,0,2575,0.1
62,0.0,6,0,2581,0.1
63,-1.0,90,0,2671,0.1
64,0.0,75,0,2746,0.1
65,0.0,100,0,2846,0.1
66,-1.0,70,0,2916,0.1
67,0.0,67,0,2983,0.1
68,0.0,23,0,3006,0.1
69,0.0,3,0,3009,0.1
70,-1.0,60,0,3069,0.1
71,0.0,65,0,3134,0.1
72,0.0,39,0,3173,0.1
73,0.0,5,0,3178,0.1
74,0.0,43,0,3221,0.1
75,0.0,38,0,3259,0.1
76,0.0,26,0,3285,0.1
77,0.0,64,0,3349,0.1
78,0.0,99,0,3448,0.1
79,-1.0,80,0,3528,0.1
80,0.0,17,0,3545,0.1
81,0.0,61,0,3606,0.1
82,0.0,62,0,3668,0.1
83,0.0,5,0,3673,0.1
84,-1.0,20,0,3693,0.1
85,0.0,11,0,3704,0.1
86,0.0,62,0,3766,0.1
87,0.0,19,0,3785,0.1
88,0.0,39,0,3824,0.1
89,0.0,98,0,3922,0.1
90,0.0,77,0,3999,0.1
91,-1.0,70,0,4069,0.1
92,0.0,5,0,4074,0.1
93,-1.0,70,0,4144,0.1
94,0.0,9,0,4153,0.1
95,0.0,117,0,4270,0.1
96,0.0,52,0,4322,0.1
97,0.0,27,0,4349,0.1
98,-1.0,50,0,4399,0.1
99,-1.0,10,0,4409,0.1
100,0.0,27,0,4436,0.1
101,-1.0,30,0,4466,0.1
102,0.45699999999999996,181,1,4647,0.1
103,0.0,229,0,4876,0.1
104,-1.0,60,0,4936,0.1
105,0.739,87,1,5023,0.1
106,-1.0,90,0,5113,0.1
107,0.0,6,0,5119,0.1
108,0.0,78,0,5197,0.1
109,0.0,111,0,5308,0.1
110,0.0,162,0,5470,0.1
111,0.0,9,0,5479,0.1
112,-1.0,10,0,5489,0.1
113,0.0,65,0,5554,0.1
114,-1.0,60,0,5614,0.1
115,0.0,68,0,5682,0.1
116,-1.0,70,0,5752,0.1
117,0.0,61,0,5813,0.1
118,0.0,65,0,5878,0.1
119,-1.0,60,0,5938,0.1
120,-1.0,80,0,6018,0.1
121,0.0,103,0,6121,0.1
122,0.0,84,0,6205,0.1
123,0.0,32,0,6237,0.1
124,-1.0,130,0,6367,0.1
125,0.0,23,0,6390,0.1
126,0.0,25,0,6415,0.1
127,-1.0,60,0,6475,0.1
128,-1.0,90,0,6565,0.1
129,0.0,21,0,6586,0.1
130,-1.0,60,0,6646,0.1
131,0.0,6,0,6652,0.1
132,0.0,25,0,6677,0.1
133,-1.0,50,0,6727,0.1
134,0.0,9,0,6736,0.1
135,-1.0,50,0,6786,0.1
136,-1.0,60,0,6846,0.1
137,0.0,25,0,6871,0.1
138,0.0,3,0,6874,0.1
139,0.0,54,0,6928,0.1
140,0.757,81,1,7009,0.1
141,-1.0,60,0,7069,0.1
142,0.0,16,0,7085,0.1
143,-1.0,80,0,7165,0.1
144,0.0,196,0,7361,0.1
145,0.0,67,0,7428,0.1
146,0.0,80,0,7508,0.1
147,0.0,11,0,7519,0.1
148,-1.0,140,0,7659,0.1
149,0.0,48,0,7707,0.1
150,0.0,167,0,7874,0.1
151,-1.0,60,0,7934,0.1
152,0.0,6,0,7940,0.1
153,0.0,3,0,7943,0.1
154,-1.0,70,0,8013,0.1
155,0.0,16,0,8029,0.1
156,0.0,13,0,8042,0.1
157,0.0,76,0,8118,0.1
158,0.0,43,0,8161,0.1
159,-1.0,50,0,8211,0.1
160,0.0,75,0,8286,0.1
161,0.0,16,0,8302,0.1
162,0.0,3,0,8305,0.1
163,0.0,58,0,8363,0.1
164,0.0,60,0,8423,0.1
165,-1.0,60,0,8483,0.1
166,0.0,77,0,8560,0.1
167,-1.0,80,0,8640,0.1
168,0.0,18,0,8658,0.1
169,0.0,9,0,8667,0.1
170,0.0,32,0,8699,0.1
171,0.0,7,0,8706,0.1
172,-1.0,70,0,8776,0.1
173,-1.0,60,0,8836,0.1
174,-1.0,80,0,8916,0.1
175,0.0,15,0,8931,0.1
176,0.0,49,0,8980,0.1
177,-1.0,60,0,9040,0.1
178,0.0,18,0,9058,0.1
179,0.0,5,0,9063,0.1
180,-1.0,80,0,9143,0.1
181,0.0,18,0,9161,0.1
182,0.0,5,0,9166,0.1
183,-1.0,60,0,9226,0.1
184,0.0,69,0,9295,0.1
185,0.0,13,0,9308,0.1
186,0.0,12,0,9320,0.1
187,0.0,81,0,9401,0.1
188,-1.0,10,0,9411,0.1
189,0.0,9,0,9420,0.1
190,0.757,81,1,9501,0.1
191,0.0,171,0,9672,0.1
192,0.0,65,0,9737,0.1
193,0.0,28,0,9765,0.1
194,-1.0,20,0,9785,0.1
195,-1.0,100,0,9885,0.1
196,-1.0,130,0,10015,0.1
197,0.0,3,0,10018,0.1
198,0.0,16,0,10034,0.1
199,0.0,37,0,10071,0.1
