episode,reward,steps,success,total_steps,epsilon
0,-0.93,31,0,31,0.1
1,-0.982,3,0,34,0.1
2,0.736,126,1,160,0.1
3,1.188,13,1,173,0.1
4,-0.969,10,0,183,0.1
5,1.188,13,1,196,0.1
6,1.18,15,1,211,0.1
7,1.188,13,1,224,0.1
8,1.172,17,1,241,0.1
9,1.18,15,1,256,0.1
10,1.18,15,1,271,0.1
11,1.176,16,1,287,0.1
12,1.188,13,1,300,0.1
13,1.188,13,1,313,0.1
14,1.188,13,1,326,0.1
15,1.16,20,1,346,0.1
16,1.18,15,1,361,0.1
17,1.188,13,1,374,0.1
18,-0.882,43,0,417,0.1
19,1.18,15,1,432,0.1
20,1.1480000000000001,23,1,455,0.1
21,1.176,16,1,471,0.1
22,1.156,21,1,492,0.1
23,1.188,13,1,505,0.1
24,1.156,21,1,526,0.1
25,1.188,13,1,539,0.1
26,1.18,15,1,554,0.1
27,1.172,17,1,571,0.1
28,1.188,13,1,584,0.1
29,1.092,37,1,621,0.1
30,1.188,13,1,634,0.1
31,1.18,15,1,649,0.1
32,1.18,15,1,664,0.1
33,1.184,14,1,678,0.1
34,1.18,15,1,693,0.1
35,1.188,13,1,706,0.1
36,1.18,15,1,721,0.1
37,1.1480000000000001,23,1,744,0.1
38,1.16,20,1,764,0.1
39,1.18,15,1,779,0.1
40,1.188,13,1,792,0.1
41,1.168,18,1,810,0.1
42,1.188,13,1,823,0.1
43,1.1400000000000001,25,1,848,0.1
44,1.172,17,1,865,0.1
45,1.176,16,1,881,0.1
46,1.184,14,1,895,0.1
47,1.188,13,1,908,0.1
48,1.188,13,1,921,0.1
49,1.188,13,1,934,0.1
50,1.156,21,1,955,0.1
51,1.172,17,1,972,0.1
52,1.18,15,1,987,0.1
53,1.18,15,1,1002,0.1
54,1.184,14,1,1016,0.1
55,1.188,13,1,1029,0.1
56,1.188,13,1,1042,0.1
57,1.156,21,1,1063,0.1
58,1.18,15,1,1078,0.1
59,1.172,17,1,1095,0.1
60,1.168,18,1,1113,0.1
61,1.18,15,1,1128,0.1
62,1.18,15,1,1143,0.1
63,1.188,13,1,1156,0.1
64,1.172,17,1,1173,0.1
65,1.176,16,1,1189,0.1
66,1.188,13,1,1202,0.1
67,1.18,15,1,1217,0.1
68,1.16,20,1,1237,0.1
69,1.184,14,1,1251,0.1
70,1.172,17,1,1268,0.1
71,1.18,15,1,1283,0.1
72,1.18,15,1,1298,0.1
73,1.188,13,1,1311,0.1
