episode,reward,steps,success,total_steps,epsilon
0,0.0,64,0,64,0.1
1,0.0,19,0,83,0.1
2,0.0,14,0,97,0.1
3,0.0,10,0,107,0.1
4,0.0,19,0,126,0.1
5,0.0,8,0,134,0.1
6,0.0,78,0,212,0.1
7,0.0,9,0,221,0.1
8,0.0,35,0,256,0.1
9,0.0,17,0,273,0.1
10,0.0,24,0,297,0.1
11,0.0,19,0,316,0.1
12,0.25,250,1,566,0.1
13,0.0,10,0,576,0.1
14,0.0,52,0,628,0.1
15,0.0,14,0,642,0.1
16,0.0,38,0,680,0.1
17,0.0,8,0,688,0.1
18,0.0,102,0,790,0.1
19,0.0,8,0,798,0.1
20,0.0,69,0,867,0.1
21,0.0,258,0,1125,0.1
22,0.0,83,0,1208,0.1
23,0.0,15,0,1223,0.1
24,0.0,110,0,1333,0.1
25,0.0,13,0,1346,0.1
26,0.0,17,0,1363,0.1
27,0.0,24,0,1387,0.1
28,0.0,36,0,1423,0.1
29,0.0,19,0,1442,0.1
30,0.0,5,0,1447,0.1
31,0.0,29,0,1476,0.1
32,0.0,55,0,1531,0.1
33,0.82,60,1,1591,0.1
34,0.0,10,0,1601,0.1
35,0.0,23,0,1624,0.1
36,0.0,22,0,1646,0.1
37,0.0,239,0,1885,0.1
38,0.0,42,0,1927,0.1
39,0.5619999999999999,146,1,2073,0.1
40,0.0,7,0,2080,0.1
41,0.0,125,0,2205,0.1
42,0.0,9,0,2214,0.1
43,0.0,7,0,2221,0.1
44,0.0,11,0,2232,0.1
45,0.0,26,0,2258,0.1
46,0.0,22,0,2280,0.1
47,0.0,18,0,2298,0.1
48,0.0,299,0,2597,0.1
49,0.0,3,0,2600,0.1
50,0.0,14,0,2614,0.1
51,0.766,78,1,2692,0.1
52,0.0,21,0,2713,0.1
53,0.0,38,0,2751,0.1
54,0.0,4,0,2755,0.1
55,0.0,18,0,2773,0.1
56,0.0,7,0,2780,0.1
57,0.0,15,0,2795,0.1
58,0.0,29,0,2824,0.1
59,0.0,21,0,2845,0.1
60,0.0,58,0,2903,0.1
61,0.0,50,0,2953,0.1
62,0.0,53,0,3006,0.1
63,0.0,24,0,3030,0.1
64,0.0,118,0,3148,0.1
65,0.0,5,0,3153,0.1
66,0.0,3,0,3156,0.1
67,0.0,20,0,3176,0.1
68,0.0,12,0,3188,0.1
69,0.0,15,0,3203,0.1
70,0.0,28,0,3231,0.1
71,0.0,50,0,3281,0.1
72,0.0,48,0,3329,0.1
73,0.856,48,1,3377,0.1
74,0.0,5,0,3382,0.1
75,0.0,94,0,3476,0.1
76,0.0,30,0,3506,0.1
77,0.0,32,0,3538,0.1
78,0.0,90,0,3628,0.1
79,0.0,60,0,3688,0.1
80,0.0,26,0,3714,0.1
81,0.8260000000000001,58,1,3772,0.1
82,0.0,37,0,3809,0.1
83,0.0,7,0,3816,0.1
84,0.0,4,0,3820,0.1
85,0.0,106,0,3926,0.1
86,0.0,20,0,3946,0.1
87,0.0,69,0,4015,0.1
88,0.0,42,0,4057,0.1
89,0.646,118,1,4175,0.1
90,0.0,66,0,4241,0.1
91,0.0,20,0,4261,0.1
92,0.0,68,0,4329,0.1
93,0.0,27,0,4356,0.1
94,0.91,30,1,4386,0.1
95,0.0,3,0,4389,0.1
96,0.0,4,0,4393,0.1
97,0.0,27,0,4420,0.1
98,0.0,99,0,4519,0.1
99,0.0,8,0,4527,0.1
100,0.0,60,0,4587,0.1
101,0.0,91,0,4678,0.1
102,0.0,44,0,4722,0.1
103,0.0,3,0,4725,0.1
104,0.769,77,1,4802,0.1
105,0.0,137,0,4939,0.1
106,0.0,53,0,4992,0.1
107,0.0,51,0,5043,0.1
108,0.0,28,0,5071,0.1
109,0.0,5,0,5076,0.1
110,0.0,30,0,5106,0.1
111,0.0,136,0,5242,0.1
112,0.0,9,0,5251,0.1
113,0.0,18,0,5269,0.1
114,0.0,76,0,5345,0.1
115,0.0,24,0,5369,0.1
116,0.0,37,0,5406,0.1
117,0.0,3,0,5409,0.1
118,0.787,71,1,5480,0.1
119,0.0,41,0,5521,0.1
120,0.0,57,0,5578,0.1
121,0.0,7,0,5585,0.1
122,0.0,27,0,5612,0.1
123,0.0,6,0,5618,0.1
124,0.82,60,1,5678,0.1
125,0.0,21,0,5699,0.1
126,0.778,74,1,5773,0.1
127,0.0,29,0,5802,0.1
128,0.0,12,0,5814,0.1
129,0.0,38,0,5852,0.1
130,0.0,27,0,5879,0.1
131,0.0,17,0,5896,0.1
132,0.0,11,0,5907,0.1
133,0.8260000000000001,58,1,5965,0.1
134,0.0,27,0,5992,0.1
135,0.802,66,1,6058,0.1
