episode,reward,steps,success,total_steps
0,-0.9990000000000001,160,0,160
1,-0.985,6,0,166
2,-0.9460000000000001,67,0,233
3,-0.982,3,0,236
4,-0.859,40,0,276
5,-0.8540000000000001,35,0,311
6,-0.968,9,0,320
7,-1.0390000000000001,60,0,380
8,-0.9850000000000001,66,0,446
9,-0.9550000000000001,76,0,522
10,-1.068,69,0,591
11,-0.9550000000000001,16,0,607
12,-0.922,23,0,630
13,-0.9510000000000001,92,0,722
14,-0.929,70,0,792
15,-0.969,10,0,802
16,-0.9570000000000001,38,0,840
17,-0.982,3,0,843
18,-1.0490000000000002,190,0,1033
19,-0.9550000000000001,16,0,1049
20,0.812,107,1,1156
21,-0.9540000000000001,95,0,1251
22,-0.985,6,0,1257
23,-0.972,13,0,1270
24,-0.961,22,0,1292
25,-0.964,5,0,1297
26,-0.982,3,0,1300
27,-0.929,30,0,1330
28,-0.962,23,0,1353
29,-0.9590000000000001,60,0,1413
30,-0.986,7,0,1420
31,-0.985,6,0,1426
32,-0.92,41,0,1467
33,-1.0390000000000001,60,0,1527
34,-0.982,3,0,1530
35,-0.973,14,0,1544
36,-0.988,9,0,1553
37,-0.9400000000000001,21,0,1574
38,-0.922,43,0,1617
39,-0.9390000000000001,60,0,1677
40,-0.8380000000000001,39,0,1716
41,-0.9590000000000001,60,0,1776
42,-1.0190000000000001,80,0,1856
43,-1.061,62,0,1918
44,-1.0250000000000001,186,0,2104
45,-1.0890000000000002,130,0,2234
46,-1.0190000000000001,60,0,2294
47,-0.913,54,0,2348
48,-1.0110000000000001,72,0,2420
49,-1.067,68,0,2488
50,-0.965,26,0,2514
51,-0.9590000000000001,60,0,2574
52,-0.986,7,0,2581
53,-0.932,33,0,2614
54,-0.9490000000000001,70,0,2684
55,-0.9510000000000001,72,0,2756
56,-0.964,5,0,2761
57,-0.9690000000000001,70,0,2831
58,-1.062,63,0,2894
59,-1.0190000000000001,60,0,2954
60,-1.135,136,0,3090
61,-0.9690000000000001,90,0,3180
62,-0.9950000000000001,76,0,3256
63,-0.929,50,0,3306
64,-0.9940000000000001,95,0,3401
65,-0.925,26,0,3427
66,-0.879,40,0,3467
67,-0.908,49,0,3516
68,-0.999,60,0,3576
69,-0.878,39,0,3615
70,-1.0990000000000002,140,0,3755
71,-1.124,205,0,3960
72,-0.9390000000000001,60,0,4020
73,-0.9690000000000001,90,0,4110
74,-0.913,74,0,4184
75,0.94,75,1,4259
76,-1.0390000000000001,60,0,4319
77,-0.972,13,0,4332
78,-1.0390000000000001,60,0,4392
79,-0.9990000000000001,80,0,4472
80,-0.97,11,0,4483
81,-1.053,74,0,4557
82,0.9359999999999999,76,1,4633
83,-0.999,60,0,4693
84,-0.974,15,0,4708
85,-0.9540000000000001,35,0,4743
86,-0.9520000000000001,113,0,4856
87,-0.971,12,0,4868
88,-0.956,37,0,4905
89,-0.979,60,0,4965
90,-1.0170000000000001,78,0,5043
91,-0.9650000000000001,106,0,5149
92,-0.9890000000000001,110,0,5259
93,-0.912,33,0,5292
94,-1.0190000000000001,80,0,5372
95,-1.022,63,0,5435
96,-0.919,20,0,5455
97,-0.892,13,0,5468
98,-0.929,70,0,5538
99,0.9319999999999999,77,1,5615
100,-0.849,30,0,5645
101,-1.0070000000000001,128,0,5773
102,-1.053,74,0,5847
103,-0.9650000000000001,26,0,5873
104,-0.935,56,0,5929
105,-0.9540000000000001,75,0,6004
106,-1.0390000000000001,60,0,6064
107,-0.881,22,0,6086
108,-1.058,79,0,6165
109,-0.999,60,0,6225
110,-0.982,3,0,6228
111,-0.875,36,0,6264
112,-0.914,35,0,6299
113,-0.9920000000000001,93,0,6392
114,-0.979,60,0,6452
115,-0.91,111,0,6563
116,-1.0390000000000001,60,0,6623
117,-0.9590000000000001,80,0,6703
118,-0.97,11,0,6714
119,-1.0090000000000001,90,0,6804
120,-1.042,83,0,6887
121,-0.877,58,0,6945
122,-0.9550000000000001,36,0,6981
123,-0.879,40,0,7021
124,-0.925,26,0,7047
125,-0.92,61,0,7108
126,-0.988,9,0,7117
127,-1.0890000000000002,130,0,7247
128,-1.0190000000000001,60,0,7307
129,-0.999,80,0,7387
130,-0.9750000000000001,76,0,7463
131,-0.982,3,0,7466
132,-0.9650000000000001,26,0,7492
133,-0.9940000000000001,95,0,7587
134,-0.9390000000000001,60,0,7647
135,-0.9590000000000001,80,0,7727
136,-0.9490000000000001,90,0,7817
137,-0.9470000000000001,48,0,7865
138,-0.906,47,0,7912
139,-0.9470000000000001,8,0,7920
140,-0.987,68,0,7988
141,-0.9440000000000001,45,0,8033
142,-0.983,4,0,8037
143,-0.988,9,0,8046
144,-0.974,15,0,8061
145,-0.989,70,0,8131
146,-0.984,5,0,8136
147,-1.0190000000000001,60,0,8196
148,-1.06,61,0,8257
149,-0.9430000000000001,24,0,8281
150,-0.869,10,0,8291
151,-0.9790000000000001,80,0,8371
152,1.012,57,1,8428
153,0.7919999999999998,112,1,8540
154,0.84,100,1,8640
155,-0.906,107,0,8747
156,-0.9800000000000001,61,0,8808
157,-0.8500000000000001,31,0,8839
158,-0.909,30,0,8869
159,-0.929,70,0,8939
160,-0.911,112,0,9051
161,-0.999,60,0,9111
162,-0.9900000000000001,71,0,9182
163,-0.9790000000000001,60,0,9242
164,-1.0250000000000001,66,0,9308
165,-0.999,60,0,9368
166,-0.9440000000000001,45,0,9413
167,-0.999,60,0,9473
168,-0.849,50,0,9523
169,-0.9490000000000001,70,0,9593
170,-1.0010000000000001,82,0,9675
171,-0.926,67,0,9742
172,-1.0690000000000002,130,0,9872
173,1.004,59,1,9931
174,-0.8320000000000001,33,0,9964
175,-0.982,3,0,9967
176,-0.999,60,0,10027
177,-0.999,60,0,10087
178,-1.024,65,0,10152
179,0.968,68,1,10220
180,-0.899,40,0,10260
181,-0.982,3,0,10263
182,-0.9610000000000001,102,0,10365
183,-0.949,10,0,10375
184,0.952,72,1,10447
185,-0.9430000000000001,24,0,10471
186,-0.932,73,0,10544
187,-0.873,14,0,10558
188,-0.9810000000000001,102,0,10660
189,0.9199999999999999,80,1,10740
190,-0.926,47,0,10787
191,-0.899,100,0,10887
192,-0.919,80,0,10967
193,-0.988,9,0,10976
194,-0.9490000000000001,10,0,10986
195,-0.986,7,0,10993
196,-0.849,30,0,11023
197,-1.0190000000000001,80,0,11103
198,-0.9690000000000001,70,0,11173
199,-0.919,40,0,11213
200,-0.999,60,0,11273
201,-0.9790000000000001,60,0,11333
202,-1.0030000000000001,64,0,11397
203,-0.8660000000000001,47,0,11444
204,-0.969,10,0,11454
205,-0.9390000000000001,60,0,11514
206,-0.9450000000000001,6,0,11520
207,-0.926,47,0,11567
208,-0.9470000000000001,28,0,11595
209,-0.966,7,0,11602
210,-0.9490000000000001,70,0,11672
211,-0.9390000000000001,100,0,11772
212,-0.929,10,0,11782
213,-0.963,24,0,11806
214,-0.873,34,0,11840
215,-0.8290000000000001,30,0,11870
216,-0.9690000000000001,70,0,11940
217,-0.983,4,0,11944
218,-0.9550000000000001,96,0,12040
219,-0.919,20,0,12060
220,-0.898,19,0,12079
221,-0.8330000000000001,34,0,12113
222,0.9039999999999999,84,1,12197
223,-0.9390000000000001,60,0,12257
224,1.068,43,1,12300
225,-0.889,30,0,12330
226,-1.0090000000000001,90,0,12420
227,-0.982,3,0,12423
228,-1.0190000000000001,60,0,12483
229,-0.964,5,0,12488
230,-0.9490000000000001,10,0,12498
231,0.796,111,1,12609
232,-0.999,60,0,12669
233,-0.907,48,0,12717
234,-1.067,68,0,12785
235,-0.869,30,0,12815
236,-0.983,4,0,12819
237,0.5599999999999999,170,1,12989
238,-0.9460000000000001,47,0,13036
239,-0.903,84,0,13120
240,-0.919,120,0,13240
241,-0.9800000000000001,101,0,13341
242,-0.906,27,0,13368
243,-0.937,18,0,13386
244,-0.982,3,0,13389
245,0.9319999999999999,77,1,13466
246,-0.9359999999999999,17,0,13483
247,-0.975,16,0,13499
248,-0.984,5,0,13504
249,-0.985,6,0,13510
250,-0.9690000000000001,70,0,13580
251,-0.874,35,0,13615
252,-0.983,4,0,13619
253,-0.968,29,0,13648
254,-0.961,22,0,13670
255,-0.9390000000000001,60,0,13730
256,-0.879,20,0,13750
257,-0.988,9,0,13759
258,-0.9610000000000001,22,0,13781
259,-1.0090000000000001,90,0,13871
260,0.9999999999999999,60,1,13931
261,-0.914,35,0,13966
262,-0.9530000000000001,74,0,14040
263,-0.9630000000000001,24,0,14064
264,-0.887,28,0,14092
265,-0.986,7,0,14099
266,-0.979,60,0,14159
267,-0.919,20,0,14179
268,-0.938,19,0,14198
269,-0.971,12,0,14210
270,-0.986,7,0,14217
271,-0.913,54,0,14271
272,0.9639999999999999,69,1,14340
273,-0.9420000000000001,63,0,14403
274,-0.885,26,0,14429
275,-0.955,16,0,14445
276,-0.9610000000000001,22,0,14467
277,1.108,33,1,14500
278,-0.9550000000000001,36,0,14536
279,-0.917,18,0,14554
280,-0.919,40,0,14594
281,-0.922,63,0,14657
282,-0.929,10,0,14667
283,1.012,57,1,14724
284,-1.0430000000000001,84,0,14808
285,-0.9790000000000001,60,0,14868
286,-0.9490000000000001,10,0,14878
287,-0.971,12,0,14890
288,-0.933,14,0,14904
289,-0.892,53,0,14957
290,-0.879,100,0,15057
291,-1.0190000000000001,60,0,15117
292,-0.899,40,0,15157
293,0.992,62,1,15219
294,-0.932,73,0,15292
295,-0.9390000000000001,80,0,15372
296,-0.975,16,0,15388
297,-0.899,40,0,15428
298,-0.9890000000000001,110,0,15538
299,-0.9820000000000001,63,0,15601
300,-0.906,27,0,15628
301,-0.889,50,0,15678
302,-0.985,6,0,15684
303,-0.898,19,0,15703
304,-0.985,6,0,15709
305,-1.0390000000000001,60,0,15769
306,-0.953,14,0,15783
307,-0.9590000000000001,80,0,15863
308,0.9959999999999999,61,1,15924
309,-0.8450000000000001,46,0,15970
310,-0.977,18,0,15988
311,-0.936,17,0,16005
312,-0.9390000000000001,60,0,16065
313,-0.965,26,0,16091
314,-0.929,10,0,16101
315,-0.999,60,0,16161
316,-0.917,18,0,16179
317,-0.921,22,0,16201
318,-0.982,3,0,16204
319,-0.929,30,0,16234
320,-0.929,10,0,16244
321,-0.9390000000000001,60,0,16304
322,-0.9490000000000001,70,0,16374
323,-0.929,30,0,16404
324,-0.987,8,0,16412
325,-0.8250000000000001,46,0,16458
326,-0.919,20,0,16478
327,-0.9530000000000001,94,0,16572
328,-0.956,17,0,16589
329,-0.976,17,0,16606
330,-1.0190000000000001,60,0,16666
331,-0.992,73,0,16739
332,-0.929,30,0,16769
333,-0.9890000000000001,70,0,16839
334,-0.969,10,0,16849
335,-0.966,27,0,16876
336,-0.92,101,0,16977
337,-0.9540000000000001,75,0,17052
338,-0.987,8,0,17060
339,-0.974,15,0,17075
340,-0.979,60,0,17135
341,0.94,75,1,17210
342,-0.971,12,0,17222
343,-0.897,58,0,17280
344,-0.999,80,0,17360
345,1.168,18,1,17378
346,-0.986,7,0,17385
347,-0.914,55,0,17440
348,-1.125,146,0,17586
349,-0.971,12,0,17598
350,-0.929,10,0,17608
351,-0.932,53,0,17661
352,-0.9390000000000001,60,0,17721
353,-0.982,3,0,17724
354,-0.936,97,0,17821
355,-0.879,40,0,17861
356,-0.894,15,0,17876
357,-0.929,10,0,17886
358,-0.929,30,0,17916
359,-1.0190000000000001,60,0,17976
360,-0.919,20,0,17996
361,-0.975,16,0,18012
362,-0.909,30,0,18042
363,-1.0010000000000001,62,0,18104
364,-0.889,110,0,18214
365,-0.9590000000000001,60,0,18274
366,-0.9690000000000001,70,0,18344
367,-0.9390000000000001,20,0,18364
368,-0.918,19,0,18383
369,-0.929,110,0,18493
370,-0.969,10,0,18503
371,-0.988,9,0,18512
372,-0.9610000000000001,22,0,18534
373,-0.919,20,0,18554
374,-0.934,75,0,18629
375,-0.935,116,0,18745
376,-1.0190000000000001,60,0,18805
377,-1.0090000000000001,70,0,18875
378,-0.839,20,0,18895
379,-0.984,5,0,18900
380,-0.9630000000000001,64,0,18964
381,0.952,72,1,19036
382,-0.9590000000000001,60,0,19096
383,-0.937,58,0,19154
384,-0.9490000000000001,10,0,19164
385,-0.9590000000000001,60,0,19224
386,0.94,75,1,19299
387,-0.887,28,0,19327
388,-0.974,15,0,19342
389,-0.988,9,0,19351
390,-0.9390000000000001,40,0,19391
391,-0.968,29,0,19420
392,-0.927,68,0,19488
393,-0.9490000000000001,90,0,19578
394,-0.8350000000000001,36,0,19614
395,-0.982,3,0,19617
396,-0.907,48,0,19665
397,-0.872,33,0,19698
398,-0.9690000000000001,110,0,19808
399,-0.841,42,0,19850
400,-0.849,30,0,19880
401,1.1,35,1,19915
402,-1.1090000000000002,210,0,20125
403,-0.908,29,0,20154
404,1.096,36,1,20190
405,-0.949,10,0,20200
406,0.948,73,1,20273
407,-0.8230000000000001,44,0,20317
408,-0.9390000000000001,60,0,20377
409,-0.984,5,0,20382
410,-0.919,40,0,20422
411,-0.903,44,0,20466
412,-0.913,34,0,20500
413,-0.929,90,0,20590
414,-0.9390000000000001,120,0,20710
415,-0.964,25,0,20735
416,-0.88,101,0,20836
417,-0.909,110,0,20946
418,-0.965,26,0,20972
419,-0.976,17,0,20989
420,-0.963,24,0,21013
421,-0.9390000000000001,60,0,21073
422,-0.9790000000000001,80,0,21153
423,-0.928,29,0,21182
424,-1.0490000000000002,130,0,21312
425,-0.959,20,0,21332
426,-0.879,20,0,21352
427,-0.8560000000000001,37,0,21389
428,0.8799999999999999,90,1,21479
429,0.8319999999999999,102,1,21581
430,-0.968,29,0,21610
431,-0.909,10,0,21620
432,-0.8290000000000001,50,0,21670
433,-0.982,3,0,21673
434,0.8559999999999999,96,1,21769
435,-0.984,5,0,21774
436,-0.9390000000000001,20,0,21794
437,-0.982,63,0,21857
438,-0.974,15,0,21872
439,-0.971,12,0,21884
440,-0.9390000000000001,20,0,21904
441,-0.9390000000000001,60,0,21964
442,0.9279999999999999,78,1,22042
443,-0.9690000000000001,90,0,22132
444,-0.9390000000000001,20,0,22152
445,-0.9390000000000001,100,0,22252
446,0.832,102,1,22354
447,-0.934,115,0,22469
448,-0.925,106,0,22575
449,-0.861,22,0,22597
450,0.824,104,1,22701
451,-1.034,95,0,22796
452,0.8959999999999999,86,1,22882
453,-0.9290000000000002,90,0,22972
454,1.06,45,1,23017
455,1.072,42,1,23059
456,-0.979,60,0,23119
457,-0.972,13,0,23132
458,-0.9610000000000001,22,0,23154
459,-0.929,30,0,23184
460,-0.869,50,0,23234
461,-0.986,7,0,23241
462,-0.9390000000000001,60,0,23301
463,-0.898,39,0,23340
464,-0.859,40,0,23380
465,-0.9790000000000001,120,0,23500
466,-0.903,44,0,23544
467,-0.9700000000000001,111,0,23655
468,-0.897,38,0,23693
469,-0.98,61,0,23754
470,-0.928,89,0,23843
471,-0.936,57,0,23900
472,-0.927,28,0,23928
473,-0.9510000000000001,72,0,24000
474,-0.984,5,0,24005
475,0.94,75,1,24080
476,-0.9540000000000001,75,0,24155
477,-0.982,3,0,24158
478,-0.929,110,0,24268
479,-0.999,60,0,24328
480,-0.987,8,0,24336
481,-0.9390000000000001,120,0,24456
482,-0.89,11,0,24467
483,-0.985,6,0,24473
484,0.8079999999999999,108,1,24581
485,0.952,72,1,24653
486,-0.895,56,0,24709
487,-0.9590000000000001,60,0,24769
488,-0.9590000000000001,100,0,24869
489,-0.985,6,0,24875
490,-0.9470000000000001,28,0,24903
491,-0.984,5,0,24908
492,-0.964,5,0,24913
493,-0.9490000000000001,110,0,25023
494,-0.915,76,0,25099
495,-0.982,3,0,25102
496,-0.972,13,0,25115
497,-0.985,6,0,25121
498,1.1360000000000001,26,1,25147
499,-0.983,4,0,25151
500,-0.931,92,0,25243
501,-1.0090000000000001,70,0,25313
502,-0.9630000000000001,64,0,25377
