episode,reward,steps,success,total_steps
0,-1.0,70,0,70
1,-1.0,80,0,150
2,0.0,13,0,163
3,0.0,69,0,232
4,0.0,19,0,251
5,-1.0,80,0,331
6,-1.0,60,0,391
7,0.0,93,0,484
8,0.0,17,0,501
9,0.0,7,0,508
10,0.0,30,0,538
11,-1.0,100,0,638
12,-1.0,90,0,728
13,0.0,47,0,775
14,0.0,43,0,818
15,0.0,103,0,921
16,0.0,18,0,939
17,0.0,6,0,945
18,-1.0,130,0,1075
19,0.0,4,0,1079
20,0.0,14,0,1093
21,0.0,81,0,1174
22,-1.0,70,0,1244
23,0.0,108,0,1352
24,0.0,16,0,1368
25,0.0,17,0,1385
26,-1.0,40,0,1425
27,0.0,4,0,1429
28,-1.0,110,0,1539
29,0.0,102,0,1641
30,-1.0,110,0,1751
31,-1.0,60,0,1811
32,0.0,80,0,1891
33,-1.0,60,0,1951
34,0.0,130,0,2081
35,0.0,62,0,2143
36,-1.0,110,0,2253
37,-1.0,10,0,2263
38,-1.0,130,0,2393
39,0.0,6,0,2399
40,-1.0,60,0,2459
41,0.0,25,0,2484
42,0.0,14,0,2498
43,-1.0,60,0,2558
44,-1.0,60,0,2618
45,-1.0,70,0,2688
46,0.0,16,0,2704
47,0.0,47,0,2751
48,0.0,7,0,2758
49,0.0,13,0,2771
50,0.0,8,0,2779
51,0.0,49,0,2828
52,0.0,93,0,2921
53,0.0,5,0,2926
54,0.0,80,0,3006
55,0.0,90,0,3096
56,0.0,25,0,3121
57,0.0,5,0,3126
58,-1.0,70,0,3196
59,0.0,39,0,3235
60,0.0,89,0,3324
61,-1.0,60,0,3384
62,0.0,74,0,3458
63,-1.0,20,0,3478
64,0.0,19,0,3497
65,0.0,82,0,3579
66,-1.0,90,0,3669
67,0.757,81,1,3750
68,0.0,154,0,3904
69,-1.0,60,0,3964
70,0.0,8,0,3972
71,0.0,153,0,4125
72,0.0,13,0,4138
73,-1.0,20,0,4158
74,-1.0,110,0,4268
75,0.0,3,0,4271
76,-1.0,70,0,4341
77,0.0,85,0,4426
78,0.0,69,0,4495
79,-1.0,70,0,4565
80,-1.0,60,0,4625
81,0.0,11,0,4636
82,0.0,99,0,4735
83,0.0,72,0,4807
84,-1.0,70,0,4877
85,0.0,23,0,4900
86,0.0,39,0,4939
87,0.0,64,0,5003
88,0.0,10,0,5013
89,0.0,18,0,5031
90,0.0,116,0,5147
91,-1.0,60,0,5207
92,0.0,3,0,5210
93,0.0,91,0,5301
94,0.0,3,0,5304
95,-1.0,60,0,5364
96,0.0,8,0,5372
97,0.0,27,0,5399
98,-1.0,30,0,5429
99,0.0,35,0,5464
100,0.0,26,0,5490
101,0.0,8,0,5498
102,0.0,28,0,5526
103,-1.0,100,0,5626
104,-1.0,80,0,5706
105,-1.0,130,0,5836
106,0.0,35,0,5871
107,0.0,8,0,5879
108,0.0,23,0,5902
109,0.0,9,0,5911
110,0.0,66,0,5977
111,0.0,13,0,5990
112,0.0,26,0,6016
113,0.0,17,0,6033
114,0.0,33,0,6066
115,0.0,3,0,6069
116,0.0,29,0,6098
117,0.0,12,0,6110
118,-1.0,110,0,6220
119,0.0,6,0,6226
120,0.0,19,0,6245
121,-1.0,10,0,6255
122,0.0,96,0,6351
123,0.0,89,0,6440
124,-1.0,60,0,6500
125,0.0,4,0,6504
126,-1.0,70,0,6574
127,0.0,20,0,6594
128,0.0,28,0,6622
129,0.706,98,1,6720
130,-1.0,80,0,6800
131,-1.0,60,0,6860
132,-1.0,10,0,6870
133,0.0,35,0,6905
134,-1.0,60,0,6965
135,-1.0,80,0,7045
136,0.0,24,0,7069
137,-1.0,70,0,7139
138,0.0,9,0,7148
139,0.0,104,0,7252
140,-1.0,10,0,7262
141,-1.0,110,0,7372
142,0.0,128,0,7500
143,0.0,15,0,7515
144,-1.0,60,0,7575
145,-1.0,10,0,7585
146,-1.0,20,0,7605
147,0.0,15,0,7620
148,0.0,7,0,7627
149,0.0,27,0,7654
150,0.0,19,0,7673
151,0.0,49,0,7722
152,-1.0,70,0,7792
153,0.0,8,0,7800
154,-1.0,60,0,7860
155,-1.0,100,0,7960
156,0.0,35,0,7995
157,-1.0,60,0,8055
158,0.0,5,0,8060
159,-1.0,40,0,8100
160,0.0,22,0,8122
161,0.0,7,0,8129
162,0.0,17,0,8146
163,-1.0,50,0,8196
164,0.0,140,0,8336
165,0.0,3,0,8339
166,0.0,72,0,8411
167,0.0,4,0,8415
168,0.0,22,0,8437
169,0.0,77,0,8514
170,-1.0,70,0,8584
171,-1.0,60,0,8644
172,-1.0,20,0,8664
173,0.0,9,0,8673
174,0.0,4,0,8677
175,0.0,72,0,8749
176,-1.0,60,0,8809
177,0.0,96,0,8905
178,0.8049999999999999,65,1,8970
179,0.0,5,0,8975
180,0.0,8,0,8983
181,0.0,23,0,9006
182,0.0,71,0,9077
183,0.0,158,0,9235
184,-1.0,90,0,9325
185,0.727,91,1,9416
186,0.0,3,0,9419
187,0.0,63,0,9482
188,0.0,9,0,9491
189,0.0,46,0,9537
190,0.0,43,0,9580
191,0.76,80,1,9660
192,0.0,11,0,9671
193,-1.0,60,0,9731
194,-1.0,60,0,9791
195,0.0,6,0,9797
196,0.0,65,0,9862
197,0.0,39,0,9901
198,-1.0,60,0,9961
199,-1.0,70,0,10031
200,0.0,16,0,10047
201,-1.0,60,0,10107
202,0.0,3,0,10110
203,-1.0,110,0,10220
204,0.0,86,0,10306
205,-1.0,80,0,10386
206,0.0,28,0,10414
207,-1.0,10,0,10424
208,0.0,23,0,10447
209,0.0,147,0,10594
210,0.0,62,0,10656
211,0.0,47,0,10703
212,0.0,18,0,10721
213,-1.0,60,0,10781
214,-1.0,170,0,10951
215,-1.0,70,0,11021
216,0.0,86,0,11107
217,-1.0,70,0,11177
218,0.0,18,0,11195
219,-1.0,80,0,11275
220,0.0,96,0,11371
221,-1.0,170,0,11541
222,0.0,70,0,11611
223,0.0,43,0,11654
224,0.0,94,0,11748
225,0.0,71,0,11819
226,0.0,12,0,11831
227,0.0,9,0,11840
228,0.0,74,0,11914
229,-1.0,130,0,12044
230,0.0,28,0,12072
231,0.892,36,1,12108
232,0.0,8,0,12116
233,-1.0,120,0,12236
234,0.802,66,1,12302
235,0.0,7,0,12309
236,-1.0,10,0,12319
237,-1.0,90,0,12409
238,-1.0,20,0,12429
239,-1.0,30,0,12459
240,0.0,23,0,12482
241,0.0,5,0,12487
242,0.0,48,0,12535
243,-1.0,10,0,12545
244,-1.0,60,0,12605
245,-1.0,110,0,12715
246,0.0,15,0,12730
247,0.0,21,0,12751
248,0.0,40,0,12791
249,-1.0,90,0,12881
250,0.0,22,0,12903
251,0.0,13,0,12916
252,0.0,39,0,12955
253,0.0,16,0,12971
254,0.0,9,0,12980
255,-1.0,30,0,13010
256,0.0,3,0,13013
257,-1.0,20,0,13033
258,-1.0,60,0,13093
259,0.0,17,0,13110
260,-1.0,60,0,13170
261,-1.0,100,0,13270
262,-1.0,60,0,13330
263,-1.0,10,0,13340
264,0.0,45,0,13385
265,-1.0,100,0,13485
266,0.0,18,0,13503
267,-1.0,70,0,13573
268,0.0,5,0,13578
269,0.0,105,0,13683
270,0.0,45,0,13728
271,0.6759999999999999,108,1,13836
272,0.0,61,0,13897
273,0.0,99,0,13996
274,0.0,3,0,13999
275,0.0,8,0,14007
276,-1.0,110,0,14117
277,0.802,66,1,14183
278,0.0,7,0,14190
279,-1.0,60,0,14250
280,-1.0,10,0,14260
281,0.0,60,0,14320
282,-1.0,30,0,14350
283,-1.0,110,0,14460
284,0.724,92,1,14552
285,0.0,5,0,14557
286,0.0,45,0,14602
287,0.76,80,1,14682
288,-1.0,80,0,14762
289,-1.0,80,0,14842
290,0.0,4,0,14846
291,0.0,22,0,14868
292,-1.0,130,0,14998
293,0.0,3,0,15001
294,0.0,18,0,15019
295,0.67,110,1,15129
296,0.0,3,0,15132
297,0.0,9,0,15141
298,-1.0,110,0,15251
299,0.0,16,0,15267
300,0.0,69,0,15336
301,0.0,15,0,15351
302,0.0,19,0,15370
