episode,reward,steps,success,total_steps
0,0.0,48,0,48
1,0.0,16,0,64
2,0.0,11,0,75
3,0.0,84,0,159
4,0.0,49,0,208
5,0.0,9,0,217
6,0.0,8,0,225
7,0.0,58,0,283
8,0.0,44,0,327
9,0.0,37,0,364
10,0.0,9,0,373
11,0.0,13,0,386
12,0.0,150,0,536
13,0.0,83,0,619
14,0.0,6,0,625
15,0.0,63,0,688
16,0.0,3,0,691
17,0.0,3,0,694
18,0.0,5,0,699
19,0.0,8,0,707
20,0.0,31,0,738
21,0.895,35,1,773
22,0.0,23,0,796
23,0.0,161,0,957
24,0.0,13,0,970
25,0.0,56,0,1026
26,0.0,28,0,1054
27,0.0,16,0,1070
28,0.0,34,0,1104
29,0.0,15,0,1119
30,0.0,13,0,1132
31,0.0,21,0,1153
32,0.0,35,0,1188
33,0.0,51,0,1239
34,0.0,20,0,1259
35,0.0,53,0,1312
36,0.0,45,0,1357
37,0.0,48,0,1405
38,0.0,44,0,1449
39,0.0,19,0,1468
40,0.0,121,0,1589
41,0.0,29,0,1618
42,0.0,6,0,1624
43,0.0,24,0,1648
44,0.82,60,1,1708
45,0.0,95,0,1803
46,0.0,23,0,1826
47,0.0,276,0,2102
48,0.0,20,0,2122
49,0.0,66,0,2188
50,0.0,9,0,2197
51,0.0,87,0,2284
52,0.0,28,0,2312
53,0.0,9,0,2321
54,0.859,47,1,2368
55,0.0,6,0,2374
56,0.802,66,1,2440
57,0.0,4,0,2444
58,0.0,16,0,2460
59,0.817,61,1,2521
60,0.649,117,1,2638
61,0.0,10,0,2648
62,0.0,179,0,2827
63,0.0,12,0,2839
64,0.0,5,0,2844
65,0.0,18,0,2862
66,0.0,17,0,2879
67,0.0,6,0,2885
68,0.0,22,0,2907
69,0.0,20,0,2927
70,0.0,3,0,2930
71,0.0,69,0,2999
72,0.0,24,0,3023
73,0.0,51,0,3074
74,0.0,8,0,3082
75,0.0,35,0,3117
76,0.0,32,0,3149
77,0.0,45,0,3194
78,0.0,11,0,3205
79,0.0,54,0,3259
80,0.0,117,0,3376
81,0.0,99,0,3475
82,0.0,34,0,3509
83,0.0,17,0,3526
84,0.0,22,0,3548
85,0.0,19,0,3567
86,0.0,59,0,3626
87,0.0,7,0,3633
88,0.0,77,0,3710
89,0.0,24,0,3734
90,0.0,71,0,3805
91,0.0,3,0,3808
92,0.0,25,0,3833
93,0.0,5,0,3838
94,0.0,170,0,4008
95,0.0,56,0,4064
96,0.0,32,0,4096
97,0.0,35,0,4131
98,0.0,7,0,4138
99,0.0,48,0,4186
100,0.0,5,0,4191
101,0.0,57,0,4248
102,0.6759999999999999,108,1,4356
103,0.0,34,0,4390
104,0.0,3,0,4393
105,0.0,45,0,4438
106,0.0,5,0,4443
107,0.0,6,0,4449
108,0.0,82,0,4531
109,0.0,79,0,4610
110,0.0,189,0,4799
111,0.0,22,0,4821
112,0.0,185,0,5006
113,0.0,27,0,5033
114,0.0,93,0,5126
115,0.0,40,0,5166
116,0.0,160,0,5326
117,0.0,26,0,5352
118,0.0,11,0,5363
119,0.0,7,0,5370
120,0.0,35,0,5405
121,0.0,3,0,5408
122,0.0,20,0,5428
123,0.0,5,0,5433
124,0.61,130,1,5563
125,0.0,128,0,5691
126,0.0,6,0,5697
127,0.0,12,0,5709
128,0.0,24,0,5733
129,0.0,20,0,5753
130,0.0,86,0,5839
131,0.0,15,0,5854
132,0.0,40,0,5894
133,0.0,3,0,5897
134,0.0,19,0,5916
135,0.0,38,0,5954
136,0.0,300,0,6254
137,0.0,22,0,6276
138,0.0,39,0,6315
139,0.0,34,0,6349
140,0.0,18,0,6367
141,0.0,46,0,6413
142,0.0,3,0,6416
143,0.0,5,0,6421
144,0.0,33,0,6454
145,0.0,19,0,6473
146,0.0,32,0,6505
147,0.589,137,1,6642
148,0.0,95,0,6737
149,0.0,62,0,6799
150,0.0,12,0,6811
151,0.784,72,1,6883
152,0.0,71,0,6954
153,0.0,8,0,6962
154,0.829,57,1,7019
155,0.0,24,0,7043
156,0.403,199,1,7242
157,0.0,20,0,7262
158,0.0,23,0,7285
159,0.0,28,0,7313
160,0.0,10,0,7323
161,0.0,7,0,7330
162,0.0,26,0,7356
163,0.0,19,0,7375
164,0.0,55,0,7430
165,0.0,3,0,7433
166,0.0,15,0,7448
167,0.0,29,0,7477
168,0.0,43,0,7520
169,0.0,30,0,7550
170,0.0,25,0,7575
171,0.649,117,1,7692
172,0.0,9,0,7701
173,0.0,62,0,7763
174,0.0,73,0,7836
175,0.0,14,0,7850
176,0.0,34,0,7884
177,0.82,60,1,7944
178,0.0,24,0,7968
179,0.0,15,0,7983
180,0.0,21,0,8004
181,0.0,37,0,8041
182,0.0,70,0,8111
183,0.0,30,0,8141
184,0.0,19,0,8160
185,0.0,9,0,8169
186,0.0,72,0,8241
187,0.0,5,0,8246
188,0.0,7,0,8253
189,0.694,102,1,8355
190,0.0,7,0,8362
191,0.0,16,0,8378
192,0.0,28,0,8406
193,0.637,121,1,8527
194,0.0,14,0,8541
195,0.0,40,0,8581
196,0.0,8,0,8589
197,0.0,13,0,8602
198,0.724,92,1,8694
199,0.0,19,0,8713
200,0.0,35,0,8748
201,0.0,7,0,8755
202,0.0,12,0,8767
203,0.0,22,0,8789
204,0.0,19,0,8808
205,0.0,9,0,8817
206,0.0,22,0,8839
207,0.0,214,0,9053
208,0.0,30,0,9083
209,0.0,4,0,9087
210,0.0,36,0,9123
211,0.0,26,0,9149
212,0.0,8,0,9157
213,0.0,3,0,9160
214,0.0,30,0,9190
215,0.0,28,0,9218
216,0.0,16,0,9234
217,0.0,43,0,9277
218,0.0,13,0,9290
219,0.0,17,0,9307
220,0.0,20,0,9327
221,0.0,13,0,9340
222,0.16299999999999992,279,1,9619
223,0.652,116,1,9735
224,0.33699999999999997,221,1,9956
225,0.6759999999999999,108,1,10064
226,0.0,91,0,10155
