episode,reward,steps,success,total_steps
0,1.188,13,1,13
1,1.188,13,1,26
2,1.188,13,1,39
3,1.188,13,1,52
4,1.188,13,1,65
5,1.188,13,1,78
6,1.188,13,1,91
7,1.188,13,1,104
8,1.188,13,1,117
9,1.188,13,1,130
10,1.188,13,1,143
11,1.188,13,1,156
12,1.188,13,1,169
13,1.188,13,1,182
14,1.188,13,1,195
15,1.188,13,1,208
16,1.188,13,1,221
17,1.188,13,1,234
18,1.188,13,1,247
19,1.188,13,1,260
20,1.188,13,1,273
21,1.188,13,1,286
22,1.188,13,1,299
23,1.188,13,1,312
24,1.188,13,1,325
25,1.188,13,1,338
26,1.188,13,1,351
27,1.188,13,1,364
28,1.188,13,1,377
29,1.188,13,1,390
30,1.188,13,1,403
31,1.188,13,1,416
32,1.188,13,1,429
33,1.188,13,1,442
34,1.188,13,1,455
35,1.188,13,1,468
36,1.188,13,1,481
37,1.188,13,1,494
38,1.188,13,1,507
39,1.188,13,1,520
40,1.188,13,1,533
41,1.188,13,1,546
42,1.188,13,1,559
43,1.188,13,1,572
44,1.188,13,1,585
45,1.188,13,1,598
46,1.188,13,1,611
47,1.188,13,1,624
48,1.188,13,1,637
49,1.188,13,1,650
50,1.188,13,1,663
51,1.188,13,1,676
52,1.188,13,1,689
53,1.188,13,1,702
54,1.188,13,1,715
55,1.188,13,1,728
56,1.188,13,1,741
57,1.188,13,1,754
58,1.188,13,1,767
59,1.188,13,1,780
60,1.188,13,1,793
61,1.188,13,1,806
62,1.188,13,1,819
63,1.188,13,1,832
64,1.188,13,1,845
65,1.188,13,1,858
66,1.188,13,1,871
67,1.188,13,1,884
68,1.188,13,1,897
69,1.188,13,1,910
70,1.188,13,1,923
71,1.188,13,1,936
72,1.188,13,1,949
73,1.188,13,1,962
74,1.188,13,1,975
75,1.188,13,1,988
76,1.188,13,1,1001
77,1.188,13,1,1014
78,1.188,13,1,1027
79,1.188,13,1,1040
80,1.188,13,1,1053
81,1.188,13,1,1066
82,1.188,13,1,1079
83,1.188,13,1,1092
84,1.188,13,1,1105
85,1.188,13,1,1118
86,1.188,13,1,1131
87,1.188,13,1,1144
88,1.188,13,1,1157
89,1.188,13,1,1170
90,1.188,13,1,1183
91,1.188,13,1,1196
92,1.188,13,1,1209
93,1.188,13,1,1222
94,1.188,13,1,1235
95,1.188,13,1,1248
96,1.188,13,1,1261
97,1.188,13,1,1274
98,1.188,13,1,1287
99,1.188,13,1,1300
